Date,Type,Description,Check #,Amount,Balance
03/15/2021,ATM,CB BOONE       15 SOUTH 8TH       COLUMBIA      MO,,-50.00,3721.59
03/12/2021,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-30.91,3771.59
03/12/2021,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.86,3802.50
03/12/2021,Debit Card,"SP * ILF, LLC               AUSTIN          TX",,-85.80,3810.36
03/12/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,3896.16
03/10/2021,Debit Card,00000000063245 MCDONALD'S F171    COLUMBIA      MO,,-14.75,3899.40
03/09/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-14.63,3914.15
03/08/2021,Debit Card,2796PEPSIVEN914             COLUMBIA        MO,,-2.00,3928.78
03/08/2021,Debit Card,029801549676   BREAK TIM 2709 E B COLUMBIA      MO,,-36.59,3930.78
03/08/2021,Debit Card,WM SUPERCENTER WM SUPERCENTER #   COLUMBIA      MO,,-17.65,3967.37
03/08/2021,Debit Card,PARKMOBILE                  COLUMBIA        MO,,-1.45,3985.02
03/04/2021,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-10.79,3986.47
03/03/2021,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-30.22,3997.26
03/03/2021,Debit Card,AMZN Mktp US*XZ             Amzn.com/bill   WA,,-27.49,4027.48
03/02/2021,ACH,1224 E Walnut   Rent,,-789.95,4054.97
03/02/2021,Debit Card,DOMINO'S 1502               COLUMBIA        MO,,-9.71,4844.92
03/01/2021,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.86,4854.63
03/01/2021,Debit Card,FIREHOUSE SUBS              COLUMBIA        MO,,-8.00,4862.49
03/01/2021,Debit Card,FIREHOUSE SUBS              COLUMBIA        MO,,-11.00,4870.49
02/23/2021,ACH,IRS  TREAS 310    TAX REF,,786.00,4881.49
02/23/2021,ACH,MO DEPT REVENUE MOSTTAXRFD,,303.00,4095.49
02/22/2021,ACH,VENMO           PAYMENT,,-375.00,3792.49
02/22/2021,ACH,VENMO           PAYMENT,,-10.00,4167.49
02/22/2021,ACH,VENMO           PAYMENT,,-8.50,4177.49
02/22/2021,Debit Card,00000000023202 MCDONALD'S F1140   COLUMBIA      MO,,-17.34,4185.99
02/22/2021,Debit Card,FUZZYS TACO SHO             COLUMBIA        MO,,-14.06,4203.33
02/22/2021,Debit Card,LAKOTA COFFEE C             COLUMBIA        MO,,-7.59,4217.39
02/18/2021,Debit Card,APPLEBEES 08206             COLUMBIA        MO,,-74.70,4224.98
02/17/2021,Debit Card,043045724      HY-VEE GA 25 Conle Columbia      MO,,-34.57,4299.68
02/17/2021,ACH,CURATORS OF THE Univ Misso,,1000.00,4334.25
02/16/2021,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-38.64,3334.25
02/16/2021,Debit Card,AMZN Mktp US*NR             Amzn.com/bill   WA,,-108.00,3372.89
02/16/2021,Debit Card,PAPA JOHNS #508             COLUMBIA        MO,,-13.02,3480.89
02/10/2021,Debit Card,SMOOTHIE KING -             COLUMBIA        MO,,-7.47,3493.91
02/09/2021,Debit Card,CHIPOTLE 1027               COLUMBIA        MO,,-7.83,3501.38
02/08/2021,ACH,CURATORS OF THE Univ Misso,,-62.20,3509.21
02/08/2021,Debit Card,WM SUPERCENTER WM SUPERCENTER #   COLUMBIA      MO,,-17.91,3571.41
02/08/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,3589.32
02/04/2021,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-28.81,3592.56
02/04/2021,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,3621.37
02/03/2021,Debit Card,JIMMY JOHNS - 2             COLUMBIA        MO,,-8.09,3636.32
02/03/2021,Debit Card,LSA*LAW SCHOOL              215-968-1001    PA,,-245.00,3644.41
02/03/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,3889.41
02/02/2021,ACH,1224 E Walnut   Rent,,-789.95,3892.65
02/01/2021,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-13.39,4682.60
02/01/2021,Debit Card,00000000063245 MCDONALD'S F171    COLUMBIA      MO,,-21.08,4695.99
02/01/2021,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.86,4717.07
01/29/2021,Debit Card,SP * ALAIN DUPE             LOS ANGELES     CA,,-109.45,4724.93
01/27/2021,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-10.27,4834.38
01/27/2021,Debit Card,TEXAS ROADHOUSE             COLUMBIA        MO,,-19.00,4844.65
01/25/2021,Debit Card,WM SUPERCENTER WM SUPERCENTER #   COLUMBIA      MO,,-13.15,4863.65
01/25/2021,Debit Card,CHIPOTLE 1027               COLUMBIA        MO,,-7.83,4876.80
01/25/2021,Debit Card,UNIVERSITY OF M             COLUMBIA        MO,,-256.15,4884.63
01/22/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-5.40,5140.78
01/21/2021,Debit Card,AMZN Mktp US*QV             Amzn.com/bill   WA,,-14.98,5146.18
01/20/2021,Debit Card,THE MIZZOU STOR             COLUMBIA        MO,,-16.19,5161.16
01/20/2021,Debit Card,MU HEALTHCARE               5738843300      MO,,-39.62,5177.35
01/20/2021,ACH,CURATORS OF THE Univ Misso,,3155.78,5216.97
01/19/2021,Debit Card,Subway 12161                Columbia        MO,,-19.09,2061.19
01/19/2021,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-19.40,2080.28
01/19/2021,Debit Card,195000005104   QT 179 OUTSIDE 860 PLEASANT VALL MO,,-24.75,2099.68
01/19/2021,Debit Card,2624 GREAT CLIP             KEARNEY         MO,,-12.99,2124.43
01/13/2021,Debit Card,TST* HAWAIIAN B             NORTH KANSAS    MO,,-9.62,2137.42
01/12/2021,Debit Card,7660000234     Wal-Mart Super C   KANSAS CITY   MO,,-6.49,2147.04
01/12/2021,Deposits,328030126994   ACADEMY SPORTS #25 LIBERTY       MO,,60.42,2153.53
01/11/2021,Debit Card,QT 163 INSIDE               KANSAS CITY     MO,,-3.61,2093.11
01/06/2021,Debit Card,00000000089950 ALDI 46032         KANSAS CITY   MO,,-4.06,2096.72
01/05/2021,Debit Card,DOWNING STREET              HOLLISTER       MO,,-19.00,2100.78
01/05/2021,Debit Card,GARFIELDS - BRA             BRANSON         MO,,-16.00,2119.78
01/04/2021,ACH,1224 E Walnut   Rent,,-796.20,2135.78
01/04/2021,Debit Card,CANTINA LAREDO              BRANSON         MO,,-16.00,2931.98
01/04/2021,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,2947.98
01/04/2021,Debit Card,COLDSTONE #2162             BRANSON         MO,,-5.94,2962.93
01/04/2021,Debit Card,MELLOW MUSHROOM             Branson         MO,,-18.00,2968.87
01/04/2021,Debit Card,SHELL OIL 10006             HIGHLANDVILLE   MO,,-27.46,2986.87
01/04/2021,Debit Card,SONIC DRIVE IN              LAWRENCE        KS,,-4.36,3014.33
01/04/2021,Debit Card,MCDONALD'S F416             LAWRENCE        KS,,-2.82,3018.69
12/29/2020,Debit Card,ARBY'S 5004021              KANSAS CITY     MO,,-24.23,3021.51
12/23/2020,Debit Card,GODFATHER S PIZ             Liberty         MO,,-18.79,3045.74
12/22/2020,Debit Card,00000000018094 MCDONALD'S F2962   LIBERTY       MO,,-26.28,3064.53
12/22/2020,Debit Card,TACO BELL 15618             COLUMBIA        MO,,-3.25,3090.81
12/21/2020,Debit Card,PHILLIPS 66 - P             COLUMBIA        MO,,-27.47,3094.06
12/21/2020,Debit Card,OHANA JAPANESE              SPRINGFIELD     MO,,-15.00,3121.53
12/21/2020,Debit Card,MCDONALD'S F748             OZARK           MO,,-7.56,3136.53
12/21/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,3144.09
12/21/2020,Debit Card,AMZN Mktp US*F8             Amzn.com/bill   WA,,-124.35,3147.33
12/17/2020,Debit Card,STUDENT MOBILIZ             CONWAY          AR,,-250.00,3271.68
12/16/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.86,3521.68
12/16/2020,Debit Card,MPC 94                      COLUMBIA        MO,,-26.32,3529.54
12/15/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-28.88,3555.86
12/14/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,3584.74
12/14/2020,Debit Card,CHICK-FIL-A #03             COLUMBIA        MO,,-24.49,3587.98
12/14/2020,Debit Card,AMZN Mktp US*EV             Amzn.com/bill   WA,,-104.72,3612.47
12/09/2020,Debit Card,FRG*FANATICS.CO             8778337397      FL,,-37.49,3717.19
12/09/2020,Debit Card,AMZN Mktp US*W5             Amzn.com/bill   WA,,-18.21,3754.68
12/08/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-6.64,3772.89
12/08/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-32.03,3779.53
12/08/2020,Debit Card,DONATION TO THE             877-6009454     CA,,-30.00,3811.56
12/07/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-16.19,3841.56
12/07/2020,Debit Card,COVENANT EYES               OWOSSO          MI,,-15.99,3857.75
12/07/2020,Debit Card,2796PEPSIVEN914             COLUMBIA        MO,,-2.00,3873.74
12/04/2020,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,3875.74
12/03/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-18.60,3890.69
12/02/2020,ACH,1224 E Walnut   Rent,,-796.20,3909.29
12/01/2020,Debit Card,SIGNAL FOOD STO             OZARK           MO,,-10.87,4705.49
12/01/2020,Debit Card,THE BIG BISCUIT             SPRINGFIELD     MO,,-17.00,4716.36
12/01/2020,Debit Card,OLIVE GARDEN 00             SPRINGFIELD     MO,,-21.00,4733.36
12/01/2020,Debit Card,3703 GREAT CLIP             SPRINGFIELD     MO,,-20.00,4754.36
11/30/2020,Debit Card,KRISPY KREME #0             SPRINGFIELD     MO,,-10.58,4774.36
11/30/2020,Debit Card,BIG WHISKEYS 4              SPRINGFIELD     MO,,-20.00,4784.94
11/30/2020,Debit Card,00000000017503 SHELL SERVICE S    OSCEOLA       MO,,-2.92,4804.94
11/30/2020,Debit Card,00000000017503 SHELL SERVICE S    OSCEOLA       MO,,-24.98,4807.86
11/27/2020,Debit Card,0079-OLD CHICAG             KANSAS CITY     MO,,-14.00,4832.84
11/24/2020,Debit Card,AMAZON.COM*7I39             SEATTLE         WA,,-82.66,4846.84
11/23/2020,Debit Card,IHOP 5423                   COLUMBIA        MO,,-26.00,4929.50
11/23/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-44.75,4955.50
11/18/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-26.35,5000.25
11/18/2020,Debit Card,MPC 94                      COLUMBIA        MO,,-25.20,5026.60
11/18/2020,Debit Card,INTERNATIONAL T             COLUMBIA        MO,,-9.00,5051.80
11/16/2020,Debit Card,BURRITO KING                LAWRENCE        KS,,-7.25,5060.80
11/16/2020,Debit Card,MCDONALD'S F416             LAWRENCE        KS,,-8.18,5068.05
11/16/2020,Debit Card,JOHNNYS TAVERN              LAWRENCE        KS,,-19.00,5076.23
11/13/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-16.27,5095.23
11/12/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,5111.50
11/12/2020,Debit Card,MPC 94                      COLUMBIA        MO,,-23.42,5119.09
11/09/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-22.30,5142.51
11/09/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-9.70,5164.81
11/06/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-28.23,5174.51
11/05/2020,Debit Card,DOMINO'S 1502               COLUMBIA        MO,,-15.11,5202.74
11/04/2020,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,5217.85
11/03/2020,ACH,1224 E Walnut   Rent,,-796.20,5232.80
11/02/2020,Debit Card,SQ *BIG MAMA CH             COLUMBIA        MO,,-65.09,6029.00
11/02/2020,Debit Card,DAIRY QUEEN #12             COLUMBIA        MO,,-3.66,6094.09
10/30/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-43.48,6097.75
10/30/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-15.19,6141.23
10/26/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-12.20,6156.42
10/26/2020,Debit Card,PARKMOBILE                  COLUMBIA        MO,,-1.20,6168.62
10/23/2020,Debit Card,MIZZOU MARKET H             COLUMBIA        MO,,-8.71,6169.82
10/21/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-42.19,6178.53
10/21/2020,Debit Card,PAPA JOHNS #508             COLUMBIA        MO,,-17.36,6220.72
10/21/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,6238.08
10/19/2020,ACH,VENMO           PAYMENT,,-9.00,6241.32
10/19/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,6250.32
10/19/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-7.65,6257.91
10/19/2020,Debit Card,SMOOTHIE KING -             COLUMBIA        MO,,-6.51,6265.56
10/16/2020,ACH,VENMO           PAYMENT,,-18.00,6272.07
10/14/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-5.60,6290.07
10/13/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-45.10,6295.67
10/13/2020,Debit Card,LOVES COUNTRY 0             BOONVILLE       MO,,-26.03,6340.77
10/13/2020,Debit Card,REMITONLINE.COM             800-9970197     CO,,-19.45,6366.80
10/08/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,6386.25
10/05/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-38.53,6393.84
10/05/2020,Debit Card,015025129998   DICK'S CLOTHING&SP COLUMBIA      MO,,-436.98,6432.37
10/05/2020,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,6869.35
10/02/2020,ACH,1224 E Walnut   Rent,,-789.95,6884.30
10/02/2020,Debit Card,ERNIE'S CAFE &              COLUMBIA        MO,,-10.00,7674.25
10/01/2020,ACH,VENMO           PAYMENT,,-10.00,7684.25
10/01/2020,Debit Card,ZAXBY'S #46401              COLUMBIA        MO,,-8.86,7694.25
09/30/2020,Debit Card,MIZZOU PHARMACY             COLUMBIA        MO,,-5.93,7703.11
09/28/2020,Debit Card,00000000023202 MCDONALD'S F1140   COLUMBIA      MO,,-13.02,7709.04
09/28/2020,Debit Card,SQ *SILVERBALL              Columbia        MO,,-8.00,7722.06
09/28/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,7730.06
09/28/2020,Debit Card,TST* TROPICAL L             COLUMBIA        MO,,-7.00,7737.65
09/28/2020,Debit Card,EL OSO MEXICAN              COLUMBIA        MO,,-21.47,7744.65
09/28/2020,Debit Card,IHOP 5423                   COLUMBIA        MO,,-23.00,7766.12
09/25/2020,ACH,ROBINHOOD       Funds,,489.88,7789.12
09/25/2020,ACH,VENMO           CASHOUT,,140.19,7299.24
09/24/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-52.83,7159.05
09/22/2020,Debit Card,DOMINO'S 1502               COLUMBIA        MO,,-17.81,7211.88
09/21/2020,Debit Card,HITT ST MINI MA             COLUMBIA        MO,,-17.35,7229.69
09/21/2020,Debit Card,CHIPOTLE 1027               COLUMBIA        MO,,-7.56,7247.04
09/18/2020,Debit Card,MIZZOU MARKET H             COLUMBIA        MO,,-6.89,7254.60
09/18/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-8.46,7261.49
09/16/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-11.45,7269.95
09/16/2020,ACH,UNIV OF MISSOURIPAYROLL,,14.18,7281.40
09/15/2020,Debit Card,00000000020636 MCDONALD'S F6264   COLUMBIA      MO,,-12.56,7267.22
09/15/2020,Debit Card,MPC 94                      COLUMBIA        MO,,-26.80,7279.78
09/15/2020,Debit Card,STEAMGAMES.COM4             425-9522985     WA,,-4.99,7306.58
09/14/2020,Debit Card,BURGER KING #35             COLUMBIA        MO,,-26.72,7311.57
09/14/2020,Debit Card,SONIC DRIVE IN              COLUMBIA        MO,,-22.96,7338.29
09/14/2020,Debit Card,JEWELRY BOX                 COLUMBIA        MO,,-75.93,7361.25
09/14/2020,Debit Card,004502393      TARGET T- 2400 Ber Columbia      MO,,-36.25,7437.18
09/14/2020,Debit Card,000181225078   FINISH LI 2300 BER COLUMBIA      MO,,-43.39,7473.43
09/14/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,7516.82
09/14/2020,Debit Card,MCDONALD'S F171             COLUMBIA        MO,,-6.51,7520.06
09/11/2020,ACH,1224 E Walnut   Rent,,-8.20,7526.57
09/10/2020,Debit Card,WM SUPERCENTER WM SUPERCENTER #   COLUMBIA      MO,,-26.76,7534.77
09/10/2020,Debit Card,LA SIESTA MEXIC             COLUMBIA        MO,,-29.00,7561.53
09/08/2020,Debit Card,MIZZOU MARKET H             COLUMBIA        MO,,-2.47,7590.53
09/08/2020,Debit Card,SONIC DRIVE IN              COLUMBIA        MO,,-23.27,7593.00
09/08/2020,Debit Card,CHICK-FIL-A #03             COLUMBIA        MO,,-28.03,7616.27
09/08/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,7644.30
09/04/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-12.85,7651.89
09/04/2020,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,7664.74
09/04/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-9.24,7679.69
09/03/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-41.36,7688.93
09/03/2020,Debit Card,024800052      Supplemen Suppleme Columbia      MO,,-87.39,7730.29
09/02/2020,ACH,1224 E Walnut   Rent,,-789.95,7817.68
09/02/2020,Debit Card,MCDONALD'S F171             COLUMBIA        MO,,-11.79,8607.63
09/01/2020,ACH,"DoorDash, Inc.  DoorDash,",,35.00,8619.42
08/31/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-11.81,8584.42
08/31/2020,Debit Card,STEAMGAMES.COM              BELLEVUE        WA,,-19.99,8596.23
08/28/2020,Debit Card,HY-VEE LIBERTY              LIBERTY         MO,,-54.93,8616.22
08/28/2020,Debit Card,WALMART.COM AW              BENTONVILLE     AR,,-144.87,8671.15
08/27/2020,ACH,1224 E Walnut   Rent,,-91.95,8816.02
08/27/2020,Deposits,Mobile Deposit,,3733.55,8907.97
08/26/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-29.14,5174.42
08/25/2020,Debit Card,PHILLIPS 66 - V             SAINT LOUIS     MO,,-27.08,5203.56
08/25/2020,ACH,"ACCENT CONTROLS,PAYROLL",,1252.16,5230.64
08/24/2020,Debit Card,00000000039940 KWIK TRIP 111      OAK PARK HEIG MN,,-3.79,3978.48
08/21/2020,Debit Card,SAINT LOUIS ZOO             SAINT LOUIS     MO,,-6.50,3982.27
08/19/2020,Debit Card,SMOOTHIE KING -             COLUMBIA        MO,,-16.81,3988.77
08/19/2020,Debit Card,LADY JANES KC L             Kansas City     MO,,-23.00,4005.58
08/18/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-89.61,4028.58
08/14/2020,Debit Card,WALMART.COM AW              BENTONVILLE     AR,,-258.70,4118.19
08/10/2020,Debit Card,TST* NATIONAL C             DETROIT         MI,,-6.56,4376.89
08/10/2020,ACH,"ACCENT CONTROLS,PAYROLL",,1763.45,4383.45
08/06/2020,Debit Card,HANEY FAMILY RE             CENTER LINE     MI,,-11.00,2620.00
08/04/2020,ACH,1224 E Walnut   Rent,,-949.95,2631.00
08/03/2020,Debit Card,CHIPOTLE ONLINE             NEWPORT BEACH   CA,,-20.67,3580.95
07/31/2020,Debit Card,LEFTYS OF STERL             STERLING HEIG   MI,,-12.71,3601.62
07/30/2020,Debit Card,TUBBY S                     STERLING HEIG   MI,,-10.18,3614.33
07/29/2020,Debit Card,MEXICO CITY MEX             WARREN          MI,,-12.07,3624.51
07/28/2020,Debit Card,BLUE NOTE STL               ST. LOUIS       MO,,-29.60,3636.58
07/24/2020,Debit Card,WENDY'S 0041   WENDY'S 0041       KANSAS CITY   MO,,-2.99,3666.18
07/24/2020,Deposits,Mobile Deposit,,1288.83,3669.17
07/23/2020,Debit Card,CHAMPION BURRIT             KANSAS CITY     MO,,-9.14,2380.34
07/22/2020,Debit Card,J AND R SHOES I             KANSAS CITY     MO,,-25.17,2389.48
07/21/2020,ACH,ROBINHOOD       Funds,,-0.58,2414.65
07/21/2020,Debit Card,PHILLIPS 66 - M             NORTH KANSAS    MO,,-27.34,2415.23
07/17/2020,Debit Card,00000000015645 MCDONALD'S F1162   KANSAS CITY   MO,,-14.10,2442.57
07/16/2020,ACH,ROBINHOOD       Funds,,-500.00,2456.67
07/15/2020,ACH,ROBINHOOD       Funds,,0.49,2956.67
07/15/2020,ACH,ROBINHOOD       Funds,,0.09,2956.18
07/14/2020,Account Transfers,B@H to MONEY MRKT CHECKING,,-1332.00,2956.09
07/14/2020,Debit Card,CHAMPION BURRIT             KANSAS CITY     MO,,-9.14,4288.09
07/14/2020,Debit Card,TEXAS ROADHOUSE             LIBERTY         MO,,-48.00,4297.23
07/13/2020,Debit Card,Nike Kansas Cit             Kansas City     KS,,-94.11,4345.23
07/13/2020,Debit Card,TJ MAXX #1027               KANSAS CITY     KS,,-96.28,4439.34
07/10/2020,Deposits,Mobile Deposit,,1887.79,4535.62
07/07/2020,Debit Card,00000000015645 MCDONALD'S F1162   KANSAS CITY   MO,,-14.10,2647.83
07/06/2020,Deposits,Mobile Deposit,,128.25,2661.93
07/06/2020,Deposits,Mobile Deposit,,25.03,2533.68
07/02/2020,Debit Card,BASKIN #347916              LIBERTY         MO,,-6.13,2508.65
07/02/2020,Debit Card,CHAMPION BURRIT             KANSAS CITY     MO,,-10.21,2514.78
07/01/2020,Debit Card,54TH STREET 05              KANSAS CITY     MO,,-41.00,2524.99
06/30/2020,Debit Card,TST* HAWAIIAN B             NORTH KANSAS    MO,,-9.62,2565.99
06/29/2020,Debit Card,MCDONALD'S F116             KANSAS CITY     MO,,-7.93,2575.61
06/25/2020,Debit Card,WENDY'S 0041   WENDY'S 0041       KANSAS CITY   MO,,-4.48,2583.54
06/25/2020,Deposits,Deposit,,1407.79,2588.02
06/24/2020,Debit Card,195000005104   QT 179 OUTSIDE 860 PLEASANT VALL MO,,-28.91,1180.23
06/22/2020,Debit Card,SHERIDANS BARRY             KANSAS CITY     MO,,-5.07,1209.14
06/19/2020,Debit Card,QT 151                      LIBERTY         MO,,-6.53,1214.21
06/18/2020,Debit Card,CHIPOTLE ONLINE             NEWPORT BEACH   CA,,-15.94,1220.74
06/18/2020,Debit Card,195000000108   QT 179 INSIDE 8600 PLEASANT VALL MO,,-16.34,1236.68
06/18/2020,Debit Card,CHAMPION BURRIT             KANSAS CITY     MO,,-9.14,1253.02
06/18/2020,Debit Card,TWIN DRIVE-IN               INDEPENDENCE    MO,,-21.57,1262.16
06/16/2020,Debit Card,ARBY'S 5004021              KANSAS CITY     MO,,-13.91,1283.73
06/16/2020,Deposits,Mobile Deposit,,196.51,1297.64
06/15/2020,Debit Card,003414557      TARGET T- 9220 NE  Kansas City   MO,,-30.17,1101.13
